,car_name,car_price,car_date,car_odometer,car_transmission,car_bodytype,car_engine
1187,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1188,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1189,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1190,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1191,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1192,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1193,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1194,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
1195,2016 Ferrari California T Auto,"$299,900*",,"2,863 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1196,2018 Ferrari 488 GTB Auto,"$535,000*",,160 km,Automatic,Coupe,8cyl 3.9L Turbo Petrol
1197,2017 Ferrari California T Auto,"$319,900*",,"8,703 km",Automatic,Convertible,8cyl 3.9L Turbo Petrol
1198,2018 Ferrari 812 Superfast Auto,"$699,900*",,"7,600 km",Automatic,Coupe,12cyl 6.5L Petrol
1199,2011 Ferrari California Auto,"$229,900 ",,"25,440 km",Automatic,Convertible,8cyl 4.3L Petrol
1200,2015 Ferrari 458 Speciale Auto,"$699,900*",,"7,086 km",Automatic,Coupe,8cyl 4.5L Petrol
1201,2012 Ferrari 458 Italia Auto,"$369,800*",,"39,980 km",Automatic,Coupe,8cyl 4.5L Petrol
1202,2013 Ferrari 458 Italia Auto,"$362,990*",,"11,600 km",Automatic,Coupe,8cyl 4.5L Petrol
1203,2012 Ferrari California Auto,"$219,900*",,"26,636 km",Automatic,Convertible,8cyl 4.3L Petrol
1204,2015 Ferrari 458 Speciale Auto,"$699,900*",,"2,559 km",Automatic,Coupe,8cyl 4.5L Petrol
1205,2016 Ferrari F12berlinetta Auto,"$569,900*",,"2,663 km",Automatic,Coupe,12cyl 6.3L Petrol
1206,1997 Ferrari F355 Berlinetta Manual,"$334,900 ",,"60,735 km",Manual,Coupe,8cyl 3.5L Petrol
1207,2016 Ferrari 488 GTB Auto,"$409,000*",,"2,900 km",Automatic,Coupe,8cyl 3.9L Turbo Petrol
1208,2007 Ferrari 599 Fiorano GTB Auto,"$269,000*",,"31,500 km",Automatic,Coupe,12cyl 6.0L Petrol
1209,1978 Ferrari 308 GTS Manual,"$105,000*",,"6,900 km",Manual,Coupe,8cyl 3.0L Petrol
1210,2013 Ferrari FF Auto 4RM,"$289,900*",,"12,898 km",Automatic,Hatch,12cyl 6.3L Petrol
1211,2008 Ferrari 599 Fiorano GTB Auto,"$339,000*",,"10,802 km",Automatic,Coupe,12cyl 6.0L Petrol
